"Major winners at the 1st Academy Awards included 7th Heaven and Sunrise, with three awards apiece (the latter winning for Unique and Artistic Picture), and [1] receiving two awards, including [2] Picture which was retroactively acknowledged as the highest honour, and which later became Best Picture.","1 - Wings
2 - Outstanding",,1st Academy Awards,,https://en.wikipedia.org/wiki/1st_Academy_Awards
"Modern Scots is a sister language of Modern English, as the two diverged independently from the same source: [1] [1] [1] (1150–1300).",1 - Early Middle English,,Scots language,,https://en.wikipedia.org/wiki/Scots_language
