"[1] [1] is the practice whereby an employee leaving a job - having resigned or otherwise had their employment terminated - is instructed to stay away from work during the notice period, while still remaining on the payroll.",1 - Garden leave,,Garden leave,"or gardening leave

This practice is often used to prevent an employee from taking with them up-to-date (and perhaps sensitive) information when they leave their current employer, especially when they are very likely leaving to join a competitor.",https://en.wikipedia.org/wiki/Garden_leave
"It is the world's oldest national broadcaster, and the largest broadcaster in the world by number of employees (as of 2022).",BBC,,BBC,,https://en.wikipedia.org/wiki/BBC
"The BBC is colloquially known as the [1], [2], or a combination of both ([3] [3]).","1 - Beeb
2 - Auntie
3 - Auntie Beeb",,BBC,,https://en.wikipedia.org/wiki/BBC
"[1] stitch staplers or simply [1] staplers are bookbinding tools designed to insert staples into the spine ([1]) of folded printed matter such as booklets, catalogues, brochures, and manuals.",1 - Saddle/saddle,,Saddle stitch stapler,"They are distinguished by their unusual length (most traditional staplers are too short to staple booklets easily) and by the presence of a V-shaped hump or ""saddle"" which is used to precisely align the central fold of the material to be stapled.",https://en.wikipedia.org/wiki/Saddle_stitch_stapler
"The [1] (plural [2]) was the historical ancestor of the modern book. Instead of being composed of sheets of paper, it used sheets of vellum, papyrus, or other materials.","1 - codex
2 - codices",,Codex,,https://en.wikipedia.org/wiki/Codex
"The Horn of Africa ([1]), also known as the [2] Peninsula, is a large peninsula and geopolitical region in East Africa.","1 - HoA
2 - Somali",,Horn of Africa,,https://en.wikipedia.org/wiki/Horn_of_Africa
"Numerous disputes between the UK and the Kenya Colony led to the [1] [1] revolution, which began in 1952, and the declaration of independence in 1963.",1 - Mau Mau,,Kenya,,https://en.wikipedia.org/wiki/Kenya
"Modern standard Swahili is based on Kiunguja, the dialect spoken in [1] [1], but there are numerous dialects of Swahili, some of which are mutually unintelligible.",1 - Zanzibar City,,Swahili language,,https://en.wikipedia.org/wiki/Swahili_language
