"In hydrology, [1] is the volumetric flow rate of water that is transported through a given cross-sectional area.",1 - discharge,,Discharge (hydrology),,https://en.wikipedia.org/wiki/Discharge_(hydrology)
"The [1] [1] [1] (Portuguese: [2] [2] [2]) is the confluence between the dark ([3]) Rio Negro and the pale sandy-colored ([4]) Amazon River, referred to as the Solimões River in Brazil upriver of this confluence. It is one of the main tourist attractions of [5], Brazil.","1 - Meeting of Waters
2 - Encontro das Águas
3 - blackwater
4 - whitewater
5 - Manaus","3 & 4 - geographical name
5 - biggest city in the Amazon",Meeting of Waters,,https://en.wikipedia.org/wiki/Meeting_of_Waters
