The Moon orbits Earth at [1] km (1.3 light seconds) and is roughly a [2] as wide as Earth.,"1 - 380,000
2 - quarter",2 - fraction,Earth,,https://en.wikipedia.org/wiki/Earth
"Earth, like most other Solar System bodies formed [1] billion years ago from gas of the early Solar System.",1 - 4.5,decimal place,Earth,,https://en.wikipedia.org/wiki/Earth
"Due to [1] [1], the core region of the Earth is estimated to be primarily composed of [2] (88.8%), with smaller amounts of [3] (5.8%), [4] (4.5%), and less than 1% trace elements.","1 - mass segregation
2 - iron
3 - nickel
4 - sulfur",1 - heavier members to the centre,Earth,,https://en.wikipedia.org/wiki/Earth
"Earth's surface is farthest out from Earth's center of mass at the [1] [1], making the summit of the [2] volcano in [3] (6,384.4 km or 3,967.1 mi) the farthest point.","1 - equatorial bulge
2 - Chimborazo
3 - Ecuador",1 - think crotch,Earth,also the highest mountain in Ecuador,https://en.wikipedia.org/wiki/Earth
"To measure the local variation of Earth's topography, [1] employs an idealized Earth producing a shape called a [2].","1 - geodesy
2 - geoid",1 - name of field,Earth,,https://en.wikipedia.org/wiki/Earth
"The [1] line, defined as [2] km ([3] mi) above Earth's surface, is a working definition for the boundary between the atmosphere and outer space.","1 - Kármán
2 - 100
3 - 62",,Earth,,https://en.wikipedia.org/wiki/Earth
